                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0717,                 2.9197,                   2.21,                0.00583,                0.56757,                0.03604,                0.01145,                 2.8611,                 3.3754,                 2.7272,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.8435,                 2.7821,                  2.081,                0.00528,                0.51351,                0.06067,                 0.0115,                 2.7372,                 3.3782,                 2.8836,               0.086485,              0.0014851,              0.0014851
                      2,                 1.6878,                 2.6789,                  1.987,                0.00556,                0.54054,                0.03091,                0.00766,                 2.7859,                 3.4002,                 2.9551,               0.079254,              0.0022545,              0.0022545
                      3,                 1.6065,                 2.6203,                 1.9138,                0.00556,                0.54054,                0.04954,                0.01129,                 2.6086,                 3.2939,                 2.8074,               0.072008,              0.0030079,              0.0030079
                      4,                 1.6701,                 2.5383,                 1.9416,                0.00556,                0.54054,                0.05047,                0.01237,                 2.8723,                 3.3536,                 2.9699,               0.064746,              0.0037456,              0.0037456
                      5,                 1.6346,                 2.4909,                 1.9351,                0.00639,                0.62162,                0.03844,                0.01201,                 2.8831,                 3.3676,                 2.9032,               0.057467,              0.0044673,              0.0044673
                      6,                  1.584,                 2.4068,                   1.85,                0.00639,                0.62162,                0.02148,                0.00673,                 3.1532,                 3.5253,                 2.9762,               0.050173,              0.0051733,              0.0051733
                      7,                 1.5577,                 2.3556,                 1.8413,                0.00472,                0.45946,                0.00823,                0.00263,                 3.4588,                 3.7379,                 3.3907,               0.042863,              0.0058634,              0.0058634
                      8,                  1.613,                 2.3047,                  1.862,                0.00838,                0.56757,                0.02809,                0.00577,                 3.4703,                 3.6064,                 3.4914,               0.035538,              0.0065377,              0.0065377
                      9,                 1.6122,                 2.2636,                 1.8687,                0.40526,                0.02703,                0.03525,                0.00512,                 3.4772,                 3.6628,                 3.5298,               0.028196,              0.0071961,              0.0071961
                     10,                 1.6274,                 2.2835,                 1.8741,                0.00833,                0.02703,                0.03211,                0.00648,                   3.73,                 3.6028,                 3.3951,               0.020839,              0.0078387,              0.0078387
                     11,                 1.6428,                 2.2912,                  1.842,                0.06386,                0.21622,                0.03805,                0.00884,                 3.0939,                 3.2536,                 3.1019,               0.013465,              0.0084655,              0.0084655
                     12,                 1.5786,                  2.219,                 1.8392,                0.10571,                0.13514,                0.04165,                0.01031,                 3.0935,                 3.3678,                  3.311,               0.008812,               0.008812,               0.008812
                     13,                 1.6262,                 2.2839,                 1.8669,                0.12102,                0.16216,                0.06412,                0.01333,                 3.2416,                 3.2102,                 3.4259,               0.008812,               0.008812,               0.008812
                     14,                 1.5931,                 2.1579,                 1.8427,                0.04348,                0.13514,                 0.0516,                0.00882,                 3.2697,                 3.3762,                 3.2467,               0.008713,               0.008713,               0.008713
                     15,                 1.5005,                 2.1015,                  1.791,                0.12556,                0.10811,                0.05994,                0.02079,                 2.7293,                 3.1265,                 2.8127,               0.008614,               0.008614,               0.008614
                     16,                  1.551,                 2.0854,                  1.826,                0.17261,                0.21622,                0.08335,                0.02456,                 2.8045,                 3.3849,                 3.0667,               0.008515,               0.008515,               0.008515
                     17,                 1.4509,                 2.0396,                 1.7387,                0.06946,                0.10811,                0.07118,                0.01799,                 3.0268,                 3.4115,                 3.3103,               0.008416,               0.008416,               0.008416
                     18,                   1.47,                 2.0137,                 1.7432,                0.09517,                0.15642,                0.05971,                0.01693,                 3.0317,                 3.3794,                 3.3125,               0.008317,               0.008317,               0.008317
                     19,                 1.4952,                 1.9396,                 1.7605,                0.17725,                0.08108,                0.06829,                0.01506,                 2.8127,                  3.408,                 3.0253,               0.008218,               0.008218,               0.008218
                     20,                 1.4095,                 1.8834,                 1.6987,                0.12094,                0.08108,                0.02933,                0.01034,                 2.8724,                 3.3138,                 3.1665,               0.008119,               0.008119,               0.008119
                     21,                 1.4475,                 1.8523,                 1.7232,                0.07564,                0.10811,                0.04111,                0.00969,                 3.0402,                 3.3505,                 3.1511,                0.00802,                0.00802,                0.00802
                     22,                 1.4452,                  1.759,                 1.6844,                0.10237,                0.13876,                0.04474,                0.01165,                  2.892,                 3.2638,                 3.1755,               0.007921,               0.007921,               0.007921
                     23,                 1.5045,                 1.8481,                 1.7198,                0.30966,                0.16216,                0.09029,                0.02277,                 2.6998,                 3.1406,                 2.9856,               0.007822,               0.007822,               0.007822
                     24,                 1.4329,                 1.7467,                 1.6825,                0.07005,                0.08108,                0.02135,                0.00579,                 3.2037,                 3.2783,                 3.1908,               0.007723,               0.007723,               0.007723
                     25,                 1.3661,                 1.8134,                  1.623,                0.04943,                0.08108,                0.03065,                0.00672,                 3.1188,                  3.322,                 3.1243,               0.007624,               0.007624,               0.007624
                     26,                 1.4775,                 1.8704,                 1.7358,                0.07568,                0.05405,                0.01994,                0.00527,                 3.2093,                 3.6122,                 3.3521,               0.007525,               0.007525,               0.007525
                     27,                 1.4089,                 1.7063,                 1.6409,                0.13107,                0.10811,                0.04875,                0.01056,                 3.1827,                 3.9396,                 3.5028,               0.007426,               0.007426,               0.007426
                     28,                 1.3459,                 1.6552,                 1.5746,                0.05173,                0.10811,                0.01941,                0.00543,                  3.048,                 3.8848,                  3.308,               0.007327,               0.007327,               0.007327
                     29,                 1.3143,                 1.5725,                 1.5706,                0.13965,                0.13514,                0.06693,                0.03954,                 2.8834,                 3.4906,                 3.0616,               0.007228,               0.007228,               0.007228
                     30,                 1.3298,                 1.5818,                 1.5601,                0.04617,                0.13514,                 0.0252,                0.00572,                 3.0995,                  3.573,                 3.3111,               0.007129,               0.007129,               0.007129
                     31,                 1.3152,                 1.5674,                 1.5536,                0.11092,                0.13514,                0.04125,                0.00918,                  2.861,                 3.3564,                 3.0528,                0.00703,                0.00703,                0.00703
                     32,                  1.295,                  1.498,                 1.5247,                0.26607,                0.05405,                0.03421,                0.00534,                 3.2696,                 3.3379,                 3.2993,               0.006931,               0.006931,               0.006931
                     33,                 1.2588,                 1.4014,                 1.5024,                0.07431,                0.05405,                0.01969,                0.00497,                 3.1781,                 3.5291,                 3.3052,               0.006832,               0.006832,               0.006832
                     34,                 1.2865,                  1.443,                 1.5332,                0.22968,                0.10811,                0.04349,                0.01001,                 3.1608,                 3.2383,                  3.233,               0.006733,               0.006733,               0.006733
                     35,                  1.344,                 1.4768,                 1.5373,                0.06325,                0.08108,                0.03475,                0.00772,                 3.0095,                 3.1604,                 3.0713,               0.006634,               0.006634,               0.006634
                     36,                 1.2202,                   1.38,                  1.494,                0.19181,                0.10811,                0.08872,                0.02531,                 3.0728,                 3.1342,                  3.071,               0.006535,               0.006535,               0.006535
                     37,                  1.139,                  1.301,                 1.4104,                0.86593,                0.05405,                0.08302,                0.03512,                 3.0218,                 3.0341,                 3.1072,               0.006436,               0.006436,               0.006436
                     38,                 1.1773,                 1.3356,                 1.4536,                0.07124,                0.10811,                0.05965,                0.01858,                  3.042,                  3.173,                 3.1048,               0.006337,               0.006337,               0.006337
                     39,                 1.2281,                 1.3314,                 1.4539,                  0.726,                0.08108,                0.11273,                0.02407,                  2.933,                 3.2335,                 3.0562,               0.006238,               0.006238,               0.006238
                     40,                 1.2029,                 1.3022,                 1.4278,                0.23781,                0.13514,                0.10286,                0.02339,                 2.9951,                 2.9792,                 3.1202,               0.006139,               0.006139,               0.006139
                     41,                 1.1309,                 1.2096,                 1.3826,                0.41244,                0.08108,                 0.0939,                0.02502,                 2.8643,                 3.3127,                  3.001,                0.00604,                0.00604,                0.00604
                     42,                 1.2147,                 1.2922,                 1.4392,                0.27392,                0.08108,                0.07989,                0.03135,                 2.7746,                 3.3019,                 2.9524,               0.005941,               0.005941,               0.005941
                     43,                 1.1155,                 1.1576,                 1.4001,                0.40132,                0.08108,                0.06085,                0.02786,                 2.7467,                 3.3806,                 3.0461,               0.005842,               0.005842,               0.005842
                     44,                 1.1087,                 1.1211,                 1.3875,                0.25129,                0.10811,                0.06704,                0.02409,                 2.8667,                 3.3197,                 3.0922,               0.005743,               0.005743,               0.005743
                     45,                 1.0605,                 1.1414,                 1.3576,                0.54403,                0.10811,                0.12458,                0.02306,                 3.1084,                 3.2204,                 3.3281,               0.005644,               0.005644,               0.005644
                     46,                 1.1072,                 1.1808,                 1.3825,                0.38623,                0.05405,                0.05683,                0.02742,                 2.8841,                 3.2706,                  3.144,               0.005545,               0.005545,               0.005545
                     47,                 1.1016,                 1.1228,                 1.3568,                 0.7118,                0.13514,                0.14545,                0.02955,                 3.0791,                 2.9689,                 3.4075,               0.005446,               0.005446,               0.005446
                     48,                 1.0908,                 1.1143,                 1.3743,                0.81027,                0.05405,                0.06843,                0.01152,                 3.0071,                 3.3749,                 3.2141,               0.005347,               0.005347,               0.005347
                     49,                 1.0391,                 1.0481,                 1.3077,                0.19502,                0.10811,                0.04137,                0.01224,                 2.9914,                 3.2632,                 3.2083,               0.005248,               0.005248,               0.005248
                     50,                 1.1001,                 1.0744,                 1.3324,                0.15152,                0.10811,                 0.0577,                0.01833,                 2.9814,                 3.3011,                 3.1157,               0.005149,               0.005149,               0.005149
                     51,                 1.1146,                 1.1467,                 1.3899,                0.35181,                0.08108,                0.06338,                 0.0185,                 3.0024,                 3.3133,                 3.0554,                0.00505,                0.00505,                0.00505
                     52,                 1.0115,                 1.0232,                 1.2774,                 0.0772,                0.10811,                0.03456,                0.00897,                 2.9618,                 3.4118,                 3.1127,               0.004951,               0.004951,               0.004951
                     53,                 1.0851,                 1.0392,                 1.3326,                0.06865,                0.13514,                0.03678,                0.01341,                 3.1704,                 3.2476,                 3.2199,               0.004852,               0.004852,               0.004852
                     54,                 1.0292,                0.99439,                 1.3004,                0.12925,                0.13514,                 0.0447,                 0.0147,                 3.0356,                 3.2329,                 3.1948,               0.004753,               0.004753,               0.004753
                     55,                 1.0658,                 1.0637,                 1.3504,                0.15078,                0.16216,                0.05789,                0.01366,                 2.9486,                 3.2581,                 3.0726,               0.004654,               0.004654,               0.004654
                     56,                 1.0371,                 1.0489,                 1.3515,                0.08733,                0.08108,                 0.0287,                0.00842,                 3.1057,                 3.4261,                 3.1529,               0.004555,               0.004555,               0.004555
                     57,                 1.0395,                 1.0182,                 1.2953,                0.12586,                0.10811,                0.03314,                0.01035,                 3.1809,                 3.3686,                 3.2012,               0.004456,               0.004456,               0.004456
                     58,                 1.0917,                 1.0567,                 1.3616,                0.19808,                0.10811,                0.04819,                0.01308,                 3.0464,                 3.3078,                 3.0828,               0.004357,               0.004357,               0.004357
                     59,                0.97422,                0.93222,                 1.2618,                0.20979,                0.10811,                0.07954,                0.03697,                 2.9162,                 3.2485,                 3.0448,               0.004258,               0.004258,               0.004258
                     60,                0.97549,                 0.9237,                 1.2675,                0.42442,                0.10811,                0.08623,                0.03735,                 3.0561,                 3.2868,                 3.1447,               0.004159,               0.004159,               0.004159
                     61,                0.94707,                0.89857,                  1.232,                0.11913,                0.13514,                0.06875,                0.03112,                 2.9717,                 3.3135,                 3.1157,                0.00406,                0.00406,                0.00406
                     62,                0.94632,                 0.8999,                 1.2665,                0.09925,                0.10811,                0.06442,                0.02601,                 2.9339,                 3.3346,                 3.0496,               0.003961,               0.003961,               0.003961
                     63,                0.99401,                0.92362,                 1.2791,                0.09821,                0.13514,                0.04024,                0.01198,                 2.9492,                 3.3668,                 3.1105,               0.003862,               0.003862,               0.003862
                     64,                0.99325,                0.90945,                 1.2693,                0.06667,                0.10621,                0.02569,                0.00526,                  3.005,                 3.4208,                 3.0929,               0.003763,               0.003763,               0.003763
                     65,                0.95536,                0.85952,                 1.2301,                 0.0707,                0.10811,                0.03141,                0.00815,                 2.9744,                 3.3927,                 3.0437,               0.003664,               0.003664,               0.003664
                     66,                0.96593,                0.87856,                 1.2481,                0.11046,                0.10811,                0.03374,                0.01408,                 2.9602,                 3.3188,                 3.0508,               0.003565,               0.003565,               0.003565
                     67,                0.96458,                0.92882,                 1.2465,                0.17608,                0.16216,                0.07943,                0.03608,                 2.9069,                  3.271,                 3.1075,               0.003466,               0.003466,               0.003466
                     68,                0.95506,                0.86504,                 1.2606,                0.23501,                0.18919,                0.09972,                0.01816,                 2.8546,                 3.1445,                 3.0586,               0.003367,               0.003367,               0.003367
                     69,                0.92752,                0.87389,                 1.2407,                0.23625,                0.16216,                 0.0645,                0.01487,                 2.8642,                 3.1776,                 3.0019,               0.003268,               0.003268,               0.003268
                     70,                0.91461,                0.81644,                  1.227,                0.18313,                0.13514,                 0.0539,                0.01368,                 2.9456,                 3.1968,                 2.9923,               0.003169,               0.003169,               0.003169
                     71,                0.97411,                0.86161,                 1.2723,                  0.206,                0.13514,                 0.0569,                 0.0153,                 2.9431,                 3.1909,                 3.0014,                0.00307,                0.00307,                0.00307
                     72,                0.91339,                0.86548,                 1.2247,                0.26899,                0.13514,                0.06045,                0.01307,                 2.9437,                 3.3361,                  2.995,               0.002971,               0.002971,               0.002971
                     73,                0.87621,                0.80778,                 1.1743,                 0.2475,                0.16216,                0.07593,                0.01731,                 2.9901,                 3.1161,                 3.1242,               0.002872,               0.002872,               0.002872
                     74,                0.92221,                0.82881,                 1.2176,                0.13234,                0.10811,                0.04524,                0.01262,                  3.006,                 3.1745,                 3.1658,               0.002773,               0.002773,               0.002773
                     75,                0.92854,                0.81859,                 1.2089,                0.11194,                0.13514,                0.04787,                0.01359,                 2.9083,                 3.2342,                 3.1149,               0.002674,               0.002674,               0.002674
                     76,                0.86726,                0.83648,                  1.228,                0.17578,                0.13514,                0.06731,                0.02601,                  2.822,                 3.2109,                 3.0811,               0.002575,               0.002575,               0.002575
                     77,                0.88662,                0.79006,                 1.2109,                0.15993,                0.10811,                0.07404,                0.03332,                 2.7791,                 3.2792,                 3.0292,               0.002476,               0.002476,               0.002476
                     78,                0.85712,                0.79352,                 1.1783,                0.14648,                0.10811,                0.06084,                0.01927,                 2.8561,                 3.3148,                 3.0476,               0.002377,               0.002377,               0.002377
                     79,                0.85206,                0.76095,                 1.1834,                0.19905,                0.10811,                0.07041,                 0.0234,                 2.8902,                 3.2869,                 3.0872,               0.002278,               0.002278,               0.002278
